Tenure,WarehouseToHome,NumberOfDeviceRegistered,SatisfactionScore,NumberOfAddress,Complain,DaySinceLastOrder,CashbackAmount,Churn,CashbackAmount_log,DaySinceLastOrder_log,NumberOfDeviceRegistered_log,PreferedOrderCat_Grocery,PreferedOrderCat_Laptop & Accessory,PreferedOrderCat_Mobile,PreferedOrderCat_Others,MaritalStatus_Married,MaritalStatus_Single,DevicesPerAddress,CashbackPerTenure
15.0,29.0,4,3,2,0,7.0,143.32,0,4.972033056314314,2.0794415416798357,1.6094379124341003,False,True,False,False,False,True,1.3333333333333333,8.9575
7.0,25.0,4,1,2,0,7.0,129.29,0,4.86976273521484,2.0794415416798357,1.6094379124341003,False,False,True,False,True,False,1.3333333333333333,16.16125
27.0,13.0,3,1,5,0,7.0,168.54,0,5.13308888718026,2.0794415416798357,1.3862943611198906,False,True,False,False,True,False,0.5,6.019285714285714
20.0,25.0,4,3,7,0,47.0,230.27,0,5.44358585913928,3.8712010109078907,1.6094379124341003,False,False,False,False,False,False,0.5,10.965238095238096
30.0,15.0,4,4,8,0,8.0,322.17,0,5.778178500556554,2.1972245773362196,1.6094379124341003,False,False,False,True,False,True,0.4444444444444444,10.39258064516129
7.0,16.0,4,2,2,0,11.0,152.81,0,5.035718074463719,2.4849066497880004,1.6094379124341003,False,False,True,False,False,False,1.3333333333333333,19.10125
1.0,15.0,6,5,3,0,2.0,149.51,0,5.014029527164271,1.0986122886681096,1.9459101490553132,False,False,True,False,False,False,1.5,74.755
1.0,11.0,4,5,3,0,1.0,154.73,1,5.048123738507247,0.6931471805599453,1.6094379124341003,False,False,True,False,False,True,1.0,77.365
11.0,12.0,4,3,2,0,4.0,137.02,0,4.927398602192456,1.6094379124341003,1.6094379124341003,False,False,True,False,True,False,1.3333333333333333,11.418333333333335
17.0,7.0,3,1,5,1,2.0,157.43,0,5.065312855386951,1.0986122886681096,1.3862943611198906,False,True,False,False,True,False,0.5,8.746111111111112
6.0,26.0,6,3,5,0,47.0,221.1,0,5.403127730900382,3.8712010109078907,1.9459101490553132,False,False,False,False,True,False,1.0,31.585714285714285
16.0,20.0,2,5,7,0,1.0,180.38,0,5.200594278019421,0.6931471805599453,1.0986122886681096,False,True,False,False,True,False,0.25,10.610588235294117
1.0,7.0,4,3,5,0,3.0,154.09,1,5.044005593571361,1.3862943611198906,1.6094379124341003,False,False,True,False,False,False,0.6666666666666666,77.045
1.0,7.0,5,3,7,0,47.0,231.09,1,5.447125227475003,3.8712010109078907,1.791759469228055,False,False,False,False,False,False,0.625,115.545
6.0,14.0,3,5,3,0,2.0,163.92,0,5.105460507838699,1.0986122886681096,1.3862943611198906,False,True,False,False,True,False,0.75,23.417142857142856
10.0,8.0,4,3,8,0,1.0,193.15,0,5.268631056177677,0.6931471805599453,1.6094379124341003,False,True,False,False,False,True,0.4444444444444444,17.55909090909091
9.0,21.0,5,1,1,1,3.0,121.68,0,4.809579339246051,1.3862943611198906,1.791759469228055,False,False,True,False,True,False,2.5,12.168000000000001
8.0,22.0,4,2,3,0,6.0,204.78,1,5.326807636947664,1.9459101490553132,1.6094379124341003,False,False,False,False,False,False,1.0,22.753333333333334
19.0,27.0,4,1,2,1,11.0,259.96,0,5.564367138872703,2.4849066497880004,1.6094379124341003,True,False,False,False,True,False,1.3333333333333333,12.998
0.0,18.0,1,4,2,0,0.0,127.16,1,4.853279483320049,0.0,0.6931471805599453,False,False,True,False,False,True,0.3333333333333333,127.16
1.0,33.0,5,5,7,0,2.0,191.96,1,5.262482913538821,1.0986122886681096,1.791759469228055,False,True,False,False,False,True,0.625,95.98
3.0,22.0,3,3,9,0,2.0,153.01,0,5.037017535370374,1.0986122886681096,1.3862943611198906,False,True,False,False,True,False,0.3,38.2525
30.0,9.0,1,5,5,1,0.0,126.7,0,4.8496837630384935,0.0,0.6931471805599453,False,False,True,False,True,False,0.16666666666666666,4.087096774193548
5.0,14.0,3,1,2,0,7.0,189.98,0,5.2521687105220565,2.0794415416798357,1.3862943611198906,False,False,False,False,False,True,1.0,31.66333333333333
9.0,12.0,4,4,2,0,14.0,205.95,0,5.332477218194741,2.70805020110221,1.6094379124341003,False,False,False,False,False,True,1.3333333333333333,20.595
18.0,26.0,3,3,9,0,1.0,148.5,0,5.0072963928307415,0.6931471805599453,1.3862943611198906,False,True,False,False,False,True,0.3,7.815789473684211
16.0,17.0,3,3,2,0,9.0,175.1,0,5.171052015502161,2.302585092994046,1.3862943611198906,False,False,False,False,True,False,1.0,10.299999999999999
0.0,14.0,1,3,4,1,3.0,124.32,1,4.830870466083991,1.3862943611198906,0.6931471805599453,False,False,True,False,False,True,0.2,124.32
7.0,6.0,4,5,10,0,6.0,204.82,1,5.327002000407946,1.9459101490553132,1.6094379124341003,False,False,False,False,True,False,0.36363636363636365,25.6025
1.0,17.0,5,5,11,0,47.0,228.06,1,5.43398397796957,3.8712010109078907,1.791759469228055,False,False,False,False,True,False,0.4166666666666667,114.03
12.0,6.0,1,1,1,0,7.0,196.13,0,5.2838634095778865,2.0794415416798357,0.6931471805599453,False,False,False,False,True,False,0.5,15.086923076923076
30.0,11.0,4,4,3,1,4.0,205.52,0,5.330397260011448,1.6094379124341003,1.6094379124341003,False,False,False,False,True,False,1.0,6.629677419354839
11.0,17.0,2,1,3,1,9.0,262.44,0,5.573825638068109,2.302585092994046,1.0986122886681096,False,False,False,False,True,False,0.5,21.87
0.0,14.0,4,4,6,0,1.0,125.46,1,4.839926052630467,0.6931471805599453,1.6094379124341003,False,False,True,False,False,False,0.5714285714285714,125.46
0.0,14.0,4,1,6,0,3.0,123.67,1,4.825670246356884,1.3862943611198906,1.6094379124341003,False,False,True,False,True,False,0.5714285714285714,123.67
0.0,14.0,3,5,4,0,0.0,123.22,0,4.822054187131157,0.0,1.3862943611198906,False,False,True,False,True,False,0.6,123.22
24.0,31.0,4,3,5,1,6.0,264.73,0,5.5824807556881915,1.9459101490553132,1.6094379124341003,True,False,False,False,True,False,0.6666666666666666,10.5892
9.0,6.0,4,5,2,0,2.0,122.18,0,4.813646700258897,1.0986122886681096,1.6094379124341003,False,False,True,False,True,False,1.3333333333333333,12.218
0.0,9.0,3,5,2,1,3.0,141.94,0,4.962424961791832,1.3862943611198906,1.3862943611198906,False,True,False,False,False,False,1.0,141.94
1.0,7.0,4,1,11,1,3.0,172.87,1,5.158307893539698,1.3862943611198906,1.6094379124341003,False,False,True,False,True,False,0.3333333333333333,86.435
4.0,18.0,3,1,9,1,2.0,139.29,0,4.943711708730681,1.0986122886681096,1.3862943611198906,False,False,True,False,True,False,0.3,27.857999999999997
18.0,7.0,4,3,4,0,4.0,207.48,0,5.339843113376535,1.6094379124341003,1.6094379124341003,False,False,False,False,True,False,0.8,10.92
15.0,7.0,2,5,3,0,8.0,208.92,0,5.346726505755724,2.1972245773362196,1.0986122886681096,False,False,False,False,True,False,0.5,13.0575
17.0,21.0,4,5,8,0,1.0,296.59,0,5.6957167002438345,0.6931471805599453,1.6094379124341003,True,False,False,False,True,False,0.4444444444444444,16.47722222222222
9.0,7.0,4,3,2,0,0.0,120.08,0,4.7964514841535175,0.0,1.6094379124341003,False,False,True,False,True,False,1.3333333333333333,12.008
4.0,15.0,4,3,7,0,8.0,197.64,0,5.2914941411999115,2.1972245773362196,1.6094379124341003,False,False,False,False,True,False,0.5,39.528
5.0,9.0,4,1,2,1,3.0,151.95,0,5.030111070596912,1.3862943611198906,1.6094379124341003,False,False,True,False,True,False,1.3333333333333333,25.325
11.0,17.0,2,1,5,0,1.0,171.8,0,5.152134856369956,0.6931471805599453,1.0986122886681096,False,False,True,False,False,True,0.3333333333333333,14.316666666666668
24.0,6.0,4,5,4,0,8.0,174.84,0,5.169574490655311,2.1972245773362196,1.6094379124341003,False,False,False,False,False,True,0.8,6.9936
0.0,6.0,3,3,2,0,7.0,152.96,0,5.036692828415545,2.0794415416798357,1.3862943611198906,False,True,False,False,False,False,1.0,152.96
3.0,6.0,3,1,2,0,7.0,140.11,0,4.949539728069669,2.0794415416798357,1.3862943611198906,False,True,False,False,False,True,1.0,35.0275
61.0,28.0,4,1,6,1,1.0,303.75,0,5.719491768361381,0.6931471805599453,1.6094379124341003,True,False,False,False,True,False,0.5714285714285714,4.899193548387097
16.0,9.0,4,1,4,1,47.0,226.24,0,5.426006727688926,3.8712010109078907,1.6094379124341003,False,False,False,False,True,False,0.8,13.308235294117647
